name;price;categoryId;description
Magic Mouse Inalámbrico Multi-Touch Negro;120.4;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;El Magic Mouse es inalámbrico y recargable, y tiene una base con un diseño optimizado que te permite moverlo fácilmente por todo el escritorio. Además, la superficie Multi-Touch te permite hacer gestos sencillos para pasar de una página web a otra y desplazarte por documentos.
Teclado HP Alámbrico 150 Basic Negro;14.2;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;Teclado con cable HP 150. Este perfecto compañero plug-and-play es un teclado cómodo con todo lo que necesitas para donde sea que lo lleves. Rápido, cómodo, preciso. Este teclado tipo chiclet tiene mucho estilo. El diseño de bajo perfil permite que la digitación sea rápida, cómoda y bastante precisa.
Teclado LOGITECH Inalámbrico Bluetooth K380 Blanco;39.4;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;Disfruta de escritura en smartphones y tablets tan cómoda y práctica como en el escritorio con este teclado portátil. K380 es un teclado inalámbrico multidispositivo que se conecta a todos los dispositivos inalámbricos Bluetooth® compatibles con teclados externos.
Teclado ESENSES Inalambrico Negro;12;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;El teclado inalámbrico ESENSES WKB-207 negro es el perfecto compañero de tu computador, facilita su uso, es suave y con rápida respuesta de tecleo. Te da comodidad y confort al momento de la escritura al redactar documentos, navegar y hacer búsquedas por internet, sin cables para una mejor organización de tu lugar de trabajo.
Teclado HP Inalámbrico 230 Negro;24;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;Teclado Inalámbrico HP 230. Disfruta de un teclado cómodo, elegante, silencioso y fácil de conectar. Trabaja, estudia y navega por internet utilizando este teclado inalámbrico, que incluye un diseño delgado y elegante, teclas silenciosas tipo chiclet, además de larga duración en la batería. Disfruta de un entorno ordenado, con conectividad moderna libre de cables y muévete con libertad gracias a la conexión inalámbrica de 2.4GHz.
Teclado STAR TEC Alámbrico ST-KB-031 Negro;5.7;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;El Teclado de Stac Tec brinda calidad durable y funcionalidad total combinadas para proporcionar el máximo valor en un teclado diseñado para ser productivo. El teclado tiene todo lo que necesitas y más, con un rango completo de teclas, un perfil cómodo y una configuración simple. Conéctalo y comienza a escribir tus necesidades.
Teclado ESENSES Básico USB;8.3;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;El teclado alámbrico ESENSES BK-107 negro está diseñado para darte una mayor comodidad, ayudándote a tener una posición más relajada de los brazos con su altura ajustable a dos posiciones, es suave y con rápida respuesta de tecleo que facilita la escritura al redactar documentos, navegar y hacer búsquedas por internet.
Teclado LOGITECH Multimedia Inalámbrico para TV y Computador K400;41.5;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;Teclado inalámbrico LOGITECH K400 con touchpad para controlar desde el sofá tu PC conectada a la TV. es un silencioso teclado fácil de usar, todas las teclas de acceso rápido favoritas de los usuarios de Windows y Android. Los controles multimedia simplifican la navegación en un televisor conectado a una PC
Magic Keyboard APPLE con Teclado numérico en Español Plata;165.4;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;El Magic Keyboard con teclado numérico tiene un diseño ampliado que incluye controles de navegación de documentos para desplazarte rápidamente y teclas de flecha de tamaño completo.
Magic Keyboard Inalámbrico Touch ID con Teclado Numérico Gris|Negro;238.7;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;Magic Keyboard viene con Touch ID, lo que proporciona una autenticación rápida, fácil y segura para inicios de sesión y compras. Magic Keyboard con Touch ID y teclado numérico ofrece una experiencia de escritura extraordinariamente cómoda y precisa. Cuenta con un diseño extendido, con controles de navegación de documentos para un desplazamiento rápido y teclas de flecha de tamaño completo, que son excelentes para jugar.
Teclado LOGITECH Bluetooth Negro K780;87.6;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;Presentamos el teclado LOGITECH K780, un teclado compacto diseñado para nuestra época multitarea. Compatible con hasta tres dispositivos, puedes alternar el uso del celular, la tablet y la computadora con un sencillo procedimiento. Duradero y compacto, también ocupa poco espacio y te permite horas y horas de uso confortable.
Teclado LOGITECH Inalámbrico Bluetooth K380 Rosado;43.8;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;Disfruta de escritura en smartphones y tablets tan cómoda y práctica como en el escritorio con este teclado portátil. K380 es un teclado inalámbrico multidispositivo que se conecta a todos los dispositivos inalámbricos Bluetooth® compatibles con teclados externos.
Teclado MICROSOFT Inalámbrico All in One Negro;47.3;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;El teclado MICROSOFT inalámbrico All-in-One Media Negro es el dispositivo perfecto para tu sala u oficina en el hogar.| Tiene un conjunto de teclas de tamaño completo y un panel de seguimiento multitoque integrado: escribe, barre, arrastra, usa zoom y haz clic fácilmente.
