name;description;price;categoryId
Computador All in One HP 23.8 Pulgadas;"Atractivo diseño. Para trabajo intenso. El All in One HP, combina la potencia de un computador de escritorio con la belleza de una pantalla moderna. Con su potente procesador, podrás disfrutar de una experiencia cinematográfica en la pantalla FHD de microbordes en tres lados con altavoces duales. ";438.6;23294ba5-92c7-4fe7-9cf7-c60ee79a9bdd
MacBook Air de 13 Pulgadas;"Un nuevo poder toma vuelo.El MacBook Air es el notebook más delgado y liviano de Apple, y vuelve completamente renovado por dentro. Gracias al chip M1 de Apple, la CPU es hasta 3,5 veces más rápida y la GPU hasta 5 veces más vleoz. El avanzado Neural Engine permite un aprendizaje automático hasta 9 veces superior. La batería es la de mayor duración en un MacBook Air. ";1162.2;23294ba5-92c7-4fe7-9cf7-c60ee79a9bdd
Computador Portátil Gamer Victus HP 16.1 Pulgadas;"El portátil gaming Victus by HP tiene todo lo que necesita para jugar y gestionar tus tareas diarias respetando el medio ambiente gracias a los materiales reciclados de origen oceánico y plástico posconsumo, que lo integran.";745.6;23294ba5-92c7-4fe7-9cf7-c60ee79a9bdd
Computador Portátil ASUS Vivobook X OLED 15.6 Pulgadas;"Haz que tu mundo brille con ASUS Vivobook 15X OLED, la computadora portátil repleta de funciones con una brillante pantalla OLED HDR con una gama DCI-P3 de calidad cinematográfica, potente procesador móvil AMD Ryzen 5 serie H. Bisagra plana de 180 °, colores modernos y elegante diseño geométrico.";657.9;23294ba5-92c7-4fe7-9cf7-c60ee79a9bdd
MacBook Pro 16 pulgadas;MacBook Pro. Todo el poder para los pro. El MacBook Pro ofrece a los usuarios más pro un rendiemiento revolucionario. Viene con el poderoso chip M1 Pro que permite resolver las tareas profesionales más exigentes con una excepcional duración de batería y una espectacular pantalla Liquid Retina XDR de 16 pulgadas.;2631.5;23294ba5-92c7-4fe7-9cf7-c60ee79a9bdd
MacBook Air de 13 Pulgadas;"Un nuevo poder toma vuelo.El MacBook Air es el notebook más delgado y liviano de Apple, y vuelve completamente renovado por dentro. Gracias al chip M1 de Apple, la CPU es hasta 3,5 veces más rápida y la GPU hasta 5 veces más vleoz. El avanzado Neural Engine permite un aprendizaje automático hasta 9 veces superior.";1320;23294ba5-92c7-4fe7-9cf7-c60ee79a9bdd
Computador Portátil LENOVO 14 Pulgadas IdeaPad 3;"En el portátil LENOVO IdeaPad 3 color azul, encuentra todo el rendimiento que necesitas, un portátil accesible que cubre tus necesidades, su combinación generosa de memoria Ram y almacenamiento en estado solido es perfecto para tus tareas diarias, con un diseño extraordinario, este equipo superará tus expectativas.";482.5;23294ba5-92c7-4fe7-9cf7-c60ee79a9bdd
Computador Portátil HP 14 Pulgadas;"Haz más desde cualquier lugar. Todo el día. Portátil HP 14-dq0508la-Azul, diseñado para mantenerte productivo y entretenido desde cualquier lugar. Espectacular diseño delgado y liviano fácil de llevar donde quiera que vayas. Ve más gracias a su pantalla con bisel de microborde de 6,5 mm. Supera tus días más complicados con un procesador eficaz y un almacenamiento confiable basado en unidad de estado sólido, La combinación perfecta entre desempeño, consumo y rentabilidad que ayuda a tu dispositivo a encargarse de varias tareas a la vez de forma perfecta y confiable.";307;23294ba5-92c7-4fe7-9cf7-c60ee79a9bdd
Computador Portátil Gamer LENOVO 15.6 Pulgadas IdeaPad Gaming 3;"Con LENOVO Ideapad Gaming 3 color blanco, es hora de llevar su experiencia de juego más allá del ámbito de normal, destacara entre su círculo de juegos, proyecta una confianza serena con imágenes nítidas y una jugabilidad fluida que se mantiene fresca ya que cuenta con un sistema térmico perfecto para soportar altas temperaturas mientras vives una experiencia de juego más silenciosa. ";1315.8;23294ba5-92c7-4fe7-9cf7-c60ee79a9bdd
Computador Portátil 2 en 1 HP 14 Pulgadas;"Ideal para mantenerte conectado, creativo y productivo. El HP Pavilion convertible 14"" que gira 360 grados, se adapta a ti para que explotes tu lado creativo y disfrutes tus momentos de relax desde cualquier lugar. Llevalo donde quieras gracias a su diseño compacto con procesador Intel® y batería de larga duración.";482.5;23294ba5-92c7-4fe7-9cf7-c60ee79a9bdd
Computador Portátil Gamer Victus HP 16.1 Pulgadas;"El poderoso portátil gaming Victus by HP de 16.1 pulgadas integra lo que necesitas para jugar. Equipado con un potente procesador Intel® de 11.ª generación, excelentes gráficos NVIDIA® GeForce® y un sistema de refrigeración efectivo que evita el sobrecalentamiento. Además de una pantalla de alta resolución y rápida frecuencia de actualización para que disfrutes de una experiencia visual ultra nítida.";877.2;23294ba5-92c7-4fe7-9cf7-c60ee79a9bdd
"Computador Portátil ASUS Vivobook 15,6 Pulgadas";"ASUS VivoBook 15 agrega estilo y dinamismo a la informática diaria. Cuenta con un procesador Intel Core i5 y SSD PCIe de gran capacidad para un almacenamiento muy rápido. Con colores sobresalientes y una tecla Enter diferencial. Recrea todo tipo de contenido con su imagen en resolución Full HD, además la pantalla NanoEdge de bisel delgado proporciona una experiencia de visualización expansiva e inmersiva al permitir una pantalla más grande en un marco más pequeño y con un peso total de solo 1,7 kg para que puedas llevarlo sin esfuerzo.";767.5;23294ba5-92c7-4fe7-9cf7-c60ee79a9bdd
"Computador Portátil ASUS TUF Dash 15,6 Pulgadas";"Con el ASUS TUF Dash F15 negro disfruta una experiencia gaming avanzada en un chasis superdelgado.Cuenta con una CPU Intel Core i5, GPU GeForce RTX 3050 y una pantalla de 144 Hz con una fluidez gráfica excelente. Su chasis TUF MIL-STD está preparado para resistir los golpes diarios. Su batería de hasta 16,6 horas te permiten realizar más tareas. Los dos altavoces con cuatro recortes producen un audio fuerte e inmersivo.";1206;23294ba5-92c7-4fe7-9cf7-c60ee79a9bdd
Computador Portátil LENOVO 14 Pulgadas;"En el portátil LENOVO IdeaPad 3 color azul, encuentra todo el rendimiento que necesitas, un portátil accesible que cubre tus necesidades, su combinación generosa de memoria Ram y almacenamiento en estado solido es perfecto para tus tareas diarias, con un diseño extraordinario, este equipo superará tus expectativas.";482;23294ba5-92c7-4fe7-9cf7-c60ee79a9bdd
Multifuncional EPSON Ecotank L3250 Hg;"La Impresora multifuncional 3 en 1 Epson EcoTank L3250 ofrece a las familias, estudiantes y profesionales un costo de impresión ultra bajo, que te permite imprimir hasta 4.500 páginas en negro o 7.500 páginas a color5 con cada juego de botellas de repuesto. La EcoTank L3250 ofrece total confiabilidad gracias a la tecnología Heat-Free de Epson, además de una experiencia de recarga fácil, limpia y sin errores con la tecnología EcoFitTM";195;6a496d2b-9b0e-444c-8389-112d6a037c33
Multifuncional EPSON Ecotank L3210 Hg;"La Impresora multifuncional 3 en 1 Epson EcoTank L3210 ofrece a las familias, estudiantes y profesionales un costo de impresión ultra bajo, que te permite imprimir hasta 4.500 páginas en negro o 7.500 páginas a color con cada juego de botellas de repuesto.";160;6a496d2b-9b0e-444c-8389-112d6a037c33
Impresora Multifuncional HP 137fnw Laser MFP Blanco;"Rendimiento sorprendente . Con la multfuncional Láser Hp 137w obtén la productividad ideal para tu negocio o empresa. Dale el toque profesional a tus documentos con tecnologia láser. Imprima, escanee, copie y envie Fax con resultados de alta calidad. Con la aplicación HP Smart imprima y escanee desde su teléfono en cualquier momento y lugar.";482.5;6a496d2b-9b0e-444c-8389-112d6a037c33
Impresora Multifuncional HP Smart Tank 530;"Multifuncional HP Smart Tank 530 imprima en su propia oficina folletos, volantes, fotos, y otros documentos sin márgenes con un aspecto fantástico. Obtén una conexión con mayor velocidad y eficiencia con la banda dual WIFI. Su sistema de tanque de tinta de alta capacidad, te brinda calidad y confianza con un rendimiento impresionante.";241;6a496d2b-9b0e-444c-8389-112d6a037c33
Impresora EPSON Ecotank L121Hg - Negro;"La L121 es la impresora que revoluciona la economía en los hogares activos de hoy. Única con el sistema original de Tanque de Tinta para imprimir cientos de proyectos escolares, páginas Web y todos tus documentos, sin preocuparte más por tener que cambiar o rellenar un cartucho, imprime a blanco y negro o a Color todos tus docuentos.";126.9;6a496d2b-9b0e-444c-8389-112d6a037c33
Impresora Multifuncional HP 790 Smart Tank Blanco;"Trabaja duro. Ahorra fácilmente! Impulsa la productividad con la instalación móvil, la impresión a doble cara, la interfaz táctil moderna y la función de envío de fax, para que puedas conectarte, trabajar e imprimir de forma intuitiva. Trabaja rápido y con eficiencia gracias al alimentador automático de 35 páginas que te ayuda a completar tus trabajos con rapidez.";361.8;6a496d2b-9b0e-444c-8389-112d6a037c33
Impresora Multifuncional Tanque de tinta CANON G3110;"Escanea, Fotocopia e Imprime, El modelo de impresora CANON, con alta productividad y costo eficiente, es ideal para las personas que buscan comodidad, economía y calidad. Proporciona tareas multifuncionales que gracias a su pantalla LCD de 3.5 cm, permite fácilmente su uso y navegacion.";186.4;6a496d2b-9b0e-444c-8389-112d6a037c33
Impresora Multifuncional HP 2775 DeskJet Ink Advantage Blanco;"Diseñada para proporcionar una experiencia sin inconvenientes para impresión, escaneo y copia de documentos de todos los días, además de ofrecer conexiones con mayor alcance, más rápidas y más confiables gracias al Wi-Fi banda doble con reinicio automático. Configúrela, conéctela con su computadora, su tablet o su teléfono, y comience a imprimir en minutos con la aplicación HP Smart, la mejor aplicación de impresión móvil de su clase. ";67.7;6a496d2b-9b0e-444c-8389-112d6a037c33
Impresora Multifuncional HP 135w Laser MFP Blanco;"Rendimiento sorprendente . Con la multfuncional Láser Hp 135w obtén la productividad ideal para tu negocio o empresa. Dale el toque profesional a tus documentos con tecnologia láser. Imprima, escanee y copie, con resultados de alta calidad. Con la aplicación HP Smart imprima y escanee desde su teléfono en cualquier momento y lugar.";197.4;6a496d2b-9b0e-444c-8389-112d6a037c33
Impresora Multifuncional CANON G7010 Tanque de Tinta;"La impresora inalámbrica multifuncional PIXMA G7010, fue diseñada para una gran productividad de impresión con un alto rendimiento de páginas de hasta 8,300 páginas de texto en negro o hasta 7,700 páginas en color por botella de tintacompleta,gracias al sistemade tinta fiable y recargable.";367.3;6a496d2b-9b0e-444c-8389-112d6a037c33
Impresora Multifuncional HP 720 Smart Tank Blanco;"Fácil para imprimir. Fácil ahorro! Simplifica la impresión con la instalación móvil, la impresión automática a doble cara, los botones inteligentes y menos interrupciones. Además, obten más valor gracias a la tinta original HP que se incluye en la caja y permite imprimir grandes volúmenes. Administra tareas facilmente con botones inteligentes que te guían a través del proceso de impresión.";241;6a496d2b-9b0e-444c-8389-112d6a037c33
Impresora HP 115 Ink Tank Negro;"Imprime fácilmente una gran cantidad de documentos a un costo bajo y de buena calidad con la impresora HP Ink Tank 115 SFP.| Tiene un mecanismo de recarga de tinta confiable sin derrames. Por su característica de inyección de tinta, cuenta con una velocidad en negro de 8 y en color de 5 páginas por minuto, además, su sistema ​operativo es compatible con Windows 10, Windows 8, Windows Vista, XP.";131.6;6a496d2b-9b0e-444c-8389-112d6a037c33
Impresora Multifuncional CANON G6010;"La multifuncional PIXMA G6010 le permite imprimir, copiar y escanear sin interrupciones. Llene los tanques de tinta incorporados con botellas mejoradas sin complicaciones, aumente el tiempo de funcionamiento con una capacidad de papel común de 350 hojas, e imprima hasta 6,000 páginas de texto en negro o 7,700 páginas en color,manteniendo la calidad de impresion alta con un bajo costo.";237.2;6a496d2b-9b0e-444c-8389-112d6a037c33
Impresora Multifuncional EPSON XP2101;"Multifuncional XP2101 Imprime y escanea de manera inalámbrica, además cartuchos individuales y económicos, solo cambias el color que necesitas e imprime inalambricamente tus documentos y fotografias.";87.7;6a496d2b-9b0e-444c-8389-112d6a037c33
Impresora Multifuncional HP 3775 DeskJet Ink Advantage Az Hg;"Escanea, Fotocopia e Imprime, Impresora todo en uno HP, con diseño exclusivo hacen de ella la más pequeña del mundo, | la combinación perfecta de tecnología, calidad y bajo costo. Envía tus documentos de forma remota desde casi cualquier dispositivo móvil, obteniendo un rendimiento excepcional, con los económicos cartuchos originales de tinta.";76.75;6a496d2b-9b0e-444c-8389-112d6a037c33
Impresora Multifuncional CANON G2160 Tanque de Tinta;"La impresora MegaTank, Impresora con tanques de tinta de gran capacidad, menos mantenimiento y muy fácil de usar, mayor productividad con menor costo y sin sacrificar calidad de impresión. Inigualable rendimiento de páginas de hasta 7.600 páginas en blanco y negro y 7.700 páginas a color con nuestras nuevas botellas de tinta.";180.9;6a496d2b-9b0e-444c-8389-112d6a037c33
Multifuncional EPSON Ecotank L6270 Hg-Of - Negro;"Impresora multifuncional inalámbrica EcoTank L6270 te ofrece la revolucionaria impresión sin cartuchos, con nuevo diseño de tanques frontales, botellas de tinta con llenado automático y codificadas para llenado fácil de cada color. Además, la EcoTank L6270 te permite imprimir hasta 7.500 páginas en negro o 6.000 páginas a color. Imprime cientos de proyectos sin interrupciones, con los juegos de botellas de tinta original Epson, ahorrando hasta 90% en tinta con las botellas de reemplazo de bajo costo.";448.5;6a496d2b-9b0e-444c-8389-112d6a037c33
